01.01.1972,9,12,19,21,26,47
08.01.1972,3,6,14,29,34,42
15.01.1972,6,21,22,35,38,48
22.01.1972,2,21,31,34,35,41
29.01.1972,1,11,39,46,48,49
05.02.1972,2,9,22,25,33,44
12.02.1972,14,21,28,30,31,38
19.02.1972,4,11,19,38,41,48
26.02.1972,2,9,21,23,40,41
04.03.1972,20,23,27,33,36,41
11.03.1972,1,14,19,21,23,36
18.03.1972,1,9,15,23,24,41
25.03.1972,17,22,26,32,34,43
01.04.1972,14,19,23,26,29,33
08.04.1972,4,8,14,24,37,39
15.04.1972,14,17,18,25,42,47
22.04.1972,6,26,27,32,41,49
29.04.1972,8,13,25,28,34,39
06.05.1972,2,15,17,21,43,45
13.05.1972,15,18,19,20,42,49
20.05.1972,17,23,31,32,33,40
27.05.1972,7,10,11,17,37,48
03.06.1972,5,9,16,18,27,29
10.06.1972,3,7,19,20,29,47
17.06.1972,2,14,27,30,34,36
24.06.1972,16,28,29,33,37,42
01.07.1972,1,3,4,19,24,27
08.07.1972,1,3,6,7,18,28
15.07.1972,13,15,27,35,40,46
22.07.1972,12,21,28,33,41,42
29.07.1972,2,3,12,19,38,40
05.08.1972,15,26,29,39,47,49
12.08.1972,5,20,23,30,41,48
19.08.1972,7,10,16,23,25,29
26.08.1972,6,23,41,42,46,47
02.09.1972,8,27,30,40,46,49
09.09.1972,20,23,37,38,45,46
16.09.1972,17,25,34,39,42,43
23.09.1972,1,4,5,11,24,40
30.09.1972,9,13,24,25,31,44
07.10.1972,14,19,28,39,43,49
14.10.1972,3,4,16,17,30,38
21.10.1972,5,18,19,28,45,46
28.10.1972,16,18,23,29,38,47
04.11.1972,9,17,21,22,32,33
11.11.1972,3,6,11,27,36,42
18.11.1972,10,27,35,43,45,46
25.11.1972,2,21,29,39,42,47
02.12.1972,2,11,12,14,25,40
09.12.1972,7,15,18,28,31,42
16.12.1972,23,31,36,38,40,49
23.12.1972,10,23,25,26,29,49
30.12.1972,8,12,19,26,30,49
