04.01.1997,6,10,31,44,46,48,2
11.01.1997,3,28,29,33,35,40,1
18.01.1997,10,19,28,36,44,47,1
25.01.1997,1,7,11,14,29,36,2
01.02.1997,10,22,24,26,31,39,5
08.02.1997,5,10,15,26,33,49,1
15.02.1997,16,27,30,34,38,47,1
22.02.1997,2,8,15,27,30,39,1
01.03.1997,5,7,13,20,22,44,0
08.03.1997,3,9,31,43,46,49,0
15.03.1997,2,7,8,27,31,41,0
22.03.1997,6,8,11,15,31,32,3
29.03.1997,18,23,26,28,44,49,9
05.04.1997,26,27,33,38,40,46,7
12.04.1997,7,13,18,22,26,36,2
19.04.1997,2,24,25,26,41,46,9
26.04.1997,9,14,24,27,33,36,7
03.05.1997,3,13,14,15,21,31,6
10.05.1997,1,8,11,19,47,49,8
17.05.1997,3,4,29,35,38,49,8
24.05.1997,6,8,14,23,26,46,0
31.05.1997,2,10,15,26,32,37,2
07.06.1997,4,9,14,41,45,47,4
14.06.1997,9,16,17,29,37,44,4
21.06.1997,2,15,18,27,29,43,0
28.06.1997,4,13,27,29,30,47,1
05.07.1997,3,14,23,26,36,46,6
12.07.1997,6,15,29,30,38,47,1
19.07.1997,8,10,11,18,23,45,1
26.07.1997,4,6,15,25,35,49,0
02.08.1997,3,8,21,26,33,42,7
09.08.1997,10,12,16,30,39,42,8
16.08.1997,14,39,40,43,45,48,3
23.08.1997,6,11,24,27,31,45,6
30.08.1997,8,13,18,29,35,49,9
06.09.1997,6,7,15,24,44,47,8
13.09.1997,10,16,35,36,37,44,0
20.09.1997,6,12,16,36,37,48,3
27.09.1997,11,15,16,34,40,43,5
04.10.1997,9,13,23,27,38,40,8
11.10.1997,5,6,29,30,32,45,2
18.10.1997,2,10,25,29,30,42,4
25.10.1997,16,21,31,46,47,48,2
01.11.1997,4,9,18,28,33,49,5
08.11.1997,1,15,26,27,28,32,7
15.11.1997,7,10,11,12,35,43,9
22.11.1997,10,33,36,39,47,48,4
29.11.1997,1,11,14,16,36,48,1
06.12.1997,1,13,15,34,40,49,5
13.12.1997,3,9,22,23,40,41,3
20.12.1997,14,19,34,35,39,42,6
27.12.1997,4,12,17,41,42,47,2
