01.01.1977,23,24,25,31,36,39
08.01.1977,2,7,13,30,31,33
15.01.1977,16,24,38,39,44,46
22.01.1977,2,3,12,16,19,38
29.01.1977,2,7,9,16,20,40
05.02.1977,4,8,9,23,37,42
12.02.1977,19,23,24,25,37,43
19.02.1977,5,9,10,15,16,31
26.02.1977,2,20,34,37,44,49
05.03.1977,9,10,34,39,40,49
12.03.1977,8,9,10,16,33,46
19.03.1977,15,19,21,22,31,49
26.03.1977,9,13,14,20,36,44
02.04.1977,3,5,17,18,34,47
09.04.1977,3,27,29,41,45,49
16.04.1977,5,20,25,39,48,49
23.04.1977,16,17,26,30,41,43
30.04.1977,1,8,12,15,27,34
07.05.1977,5,16,17,20,24,35
14.05.1977,15,25,31,36,37,41
21.05.1977,5,7,9,21,27,36
28.05.1977,12,13,22,39,45,48
04.06.1977,11,29,30,32,36,48
11.06.1977,3,12,14,32,40,46
18.06.1977,9,17,18,20,29,40
25.06.1977,6,20,32,38,40,41
02.07.1977,11,18,20,27,34,47
09.07.1977,3,7,19,24,30,36
16.07.1977,2,37,39,44,47,49
23.07.1977,6,13,22,24,37,42
30.07.1977,11,15,24,36,40,42
06.08.1977,2,15,28,36,37,42
13.08.1977,9,10,20,21,30,34
20.08.1977,13,16,19,27,32,37
27.08.1977,3,7,9,14,22,35
03.09.1977,3,21,24,28,29,36
10.09.1977,3,23,25,40,44,48
17.09.1977,1,22,32,33,37,40
24.09.1977,10,11,12,13,18,32
01.10.1977,2,18,27,42,45,47
08.10.1977,7,12,24,26,44,45
15.10.1977,8,32,36,38,43,47
22.10.1977,1,2,3,6,26,48
29.10.1977,8,28,31,34,35,49
05.11.1977,10,17,19,26,42,43
12.11.1977,16,18,29,33,34,48
19.11.1977,19,21,35,36,43,47
26.11.1977,5,27,30,42,46,47
03.12.1977,13,16,23,25,26,47
10.12.1977,7,24,27,31,34,44
17.12.1977,1,7,12,26,35,41
24.12.1977,8,18,23,25,38,42
31.12.1977,4,14,15,18,29,44
