01.01.1961,8,11,15,27,42,49
08.01.1961,10,13,20,30,38,39
15.01.1961,10,14,16,23,35,37
22.01.1961,4,6,15,38,47,49
29.01.1961,6,10,18,37,45,47
05.02.1961,15,16,18,25,37,43
12.02.1961,5,16,32,38,41,42
19.02.1961,5,13,15,36,44,49
26.02.1961,6,13,18,26,35,36
05.03.1961,1,2,8,9,25,28
12.03.1961,8,13,21,24,26,28
19.03.1961,2,32,34,40,41,48
26.03.1961,6,7,9,12,15,40
03.04.1961,6,9,32,33,38,40
09.04.1961,3,17,20,21,26,31
16.04.1961,4,23,27,28,29,38
23.04.1961,15,16,17,30,38,40
30.04.1961,1,8,19,23,40,46
07.05.1961,3,18,22,27,34,39
14.05.1961,5,7,18,21,22,43
22.05.1961,7,9,21,31,35,45
28.05.1961,14,24,41,43,45,48
04.06.1961,1,2,11,15,36,41
11.06.1961,2,5,25,29,39,47
18.06.1961,5,9,21,22,34,47
25.06.1961,14,23,28,29,36,40
02.07.1961,1,17,25,29,37,42
09.07.1961,1,11,18,25,26,33
16.07.1961,1,2,19,32,42,48
23.07.1961,3,5,15,28,42,43
30.07.1961,2,12,35,41,47,49
06.08.1961,12,15,25,28,32,43
13.08.1961,9,12,23,28,31,38
20.08.1961,9,25,31,33,34,48
27.08.1961,11,15,17,18,33,44
03.09.1961,2,10,15,20,32,35
10.09.1961,5,11,13,15,16,29
17.09.1961,1,10,20,27,37,49
24.09.1961,5,7,10,13,16,18
01.10.1961,4,14,23,29,33,36
08.10.1961,1,4,31,33,35,48
15.10.1961,7,12,14,17,19,44
22.10.1961,25,31,40,45,47,48
29.10.1961,4,16,22,33,35,40
05.11.1961,5,6,9,33,41,44
12.11.1961,11,12,18,27,33,49
19.11.1961,8,13,14,30,32,44
26.11.1961,1,2,20,37,39,40
03.12.1961,7,8,16,17,25,27
10.12.1961,5,10,23,29,39,47
17.12.1961,5,13,21,25,32,49
26.12.1961,4,22,31,32,36,42
31.12.1961,1,2,9,24,26,27
